name,price,rating,sold,store,link,image,category,platform
Cyfersia Kemeja Flanel Pria dan Wanita Motif Kotak Lengan Panjang OOTD Kekinian KJM001,158360,N/A,8 terjual,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Miracle Mates - Ghose Shirt Longsleeve I Kemeja Flanel Pria/Wanita Oversized,349000,N/A,3 terjual,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
DGM Kemeja Flanel Casual Kemeja Lengan Panjang Kantong dua Flanel kantong dua,175000,N/A,1 terjual,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
DGM Kemeja Flanel Pria Lengan Pendek Hitam Kotak-Kotak Bergaris Coklat Kemeja Pria Flanel Pria Kemeja Pendek 2957,155000,N/A,8 terjual,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
kemeja jumbo pria flanel jumbo merah,146000,N/A,4 terjual,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Gloaming Kemeja Flanel Veterano Panjang Bluvara Unisex,169900,N/A,N/A,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Brill Eighty Eight - Kemeja Flanel Pendek Premium Navy Gray Sgry 88 S2329,149500,N/A,8 terjual,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Brill Eighty Eight - Kemeja Flanel Panjang Premium Varian 88 L3932-L3937,165500,N/A,19 terjual,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Brill Eighty Eight - Kemeja Flanel Panjang Super Premium Terracotta Wht2 88 L3389,155500,N/A,25 terjual,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
PAKAJI Fashion Kemeja Flanel Pria Lengan Panjang Premium 7054,159000,N/A,1 terjual,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
