name,price,sold,rating,store,link,image,category,platform
"kemeja flanel kekinian pria wanita premium Outfit kece viral masa kini size M,LXL V-Neck",53400,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Kemeja Flanel Kotak-kotak Pria Wanita Flannel Lengan Panjang Bahan Semi Wol Premium Lembut,54950,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Kemeja Flanel Lengan Panjang Premium GDG Pria Distro Casual Baju Katun Atasan Cowok Dewasa Hitam Kotak Kemeja Flanel Tartan Hem Motif Kantong Wanita,145500,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Peternation kemeja pria flanel wool basic panjang regular fit High Kerah High Kerah Casual kotak motif,240000,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
kemeja flanel wanita pria lengan panjang bestseller Kain Lembut Unisex,54000,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
CELANA PANJANG FLANEL[PILIH MOTIF],57000,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Broodis Kemeja Flannel Casual Pria Canbera Grey Baju Lengan Panjang Fit Kantong,156250,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Kain flanel 25x23cm per lembar,1000,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Broodis Kemeja Flannel Casual Pria Canbera Stone Lengan Panjang Fit Kantong - Earthly Allure,151250,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
VIBES APPAREL | Flannel Lengan Panjang | Kemeja Flannel,178900,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Broodis Kemeja Flannel Foster Brown Lengan Panjang,156250,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Kemeja Flanel Lengan Panjang Casual Distro Pria dan Wanita,65000,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Brill Eighty Eight - Kemeja Flanel Panjang Premium Navy Gray Mst 88 L3650,155500,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Kemeja Flanel Pria WOODCUTTER Cream Catalina Flannel Shirt Lengan Panjang Casual Kotak Kotak,229000,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Kemeja Flanel Lengan Panjang Kotak Premium Baju Lembut,51200,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
NUEFELT Kemeja Flanel Pria Lengan Panjang Hiroshima,247380,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Peternation kemeja flanel wool basic panjang regular fit PT010,236500,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Kemeja Flanel M-L-XL-XXL-XXXL-XXXXL Kemeja Premium Distro Flanel,56658,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Kemeja flanel Wanita Lengan Panjang motif kotak-kotak,65675,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Ribsgold Jaket Shacket Flanel,159900,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Flanel t-shirt lengan panjang kemeja terlaris Kotak Unisex Kain Lembut,54750,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Kemeja Flanel Motif Kotak-Kotak Bahan Lembut Tebal Cocok untuk Musim Panas Dingin Ukuran M L XL,69800,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Peternation kemeja flanel wool basic panjang regular fit Casual Coklat Pria kotak Kerah Distro Motif High Formal,236400,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Kemeja Flanel Pria Lengan Panjang Kemeja Flanel Unisex Pria Wanita Best Seller Terlaris Kain Lembut Nyaman Slimfit,65000,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Bitsnbobs76 - Workshirt Boxy Paquito All Collor Shirt Flanel,138999,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Kemeja flanel wanita distro Unisex lengan panjang Casual Kain Lembut Motif Kotak Surfing Nyaman Tangan Semi flannel,60000,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
M231 Kemeja Pria Flannel Panjang Cream 0302,159000,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
DGM Kemeja Flanel Pria Panjang Premium Flanel Panjang Casual Pria 001 C,159000,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
KEMEJA FLANEL VETERANO JUMBO XXL XXXL XXXXL KEMEJA FLANEL OVERSIZE UNISEX KEMEJA FLANEL JUMBO LENGAN Pria Panjang Distro Atasan Casual Kotak Hitam,59999,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
FRED PERRY SHIRR ORIGINAL FLANEL,1900000,11,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Uniqlo Men Shirt Kemeja Flannel Kotak Pria Lengan Panjang Dark Brown (Best Quality),657000,7,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
PROMO Kemeja flanel pria dan wanita kualitas distro (original) bahan tebal halus,58000,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
EDWIN JEANS - Kemeja Flannel Pria Lengan Panjang BASTIEN Collection Shirt Relaxed Fit,244900,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Kemeja flanel catur DEWASA Panjang Pria Motif Kotak Katun Distro Cowok Surfing,53399,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Kemeja wanita lengan panjang premium atasan wanita otfit baju cewek V-Neck Flannel Kotak Motif Oversize,50800,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Kemeja Boxy Flannel Series | Taki 3.0 Series | Crop | Boxy Fit | Apelogies,125000,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Kain Flanel Import Meteran (Jaminan Kualitas Warna flanel No.1!) (Ukuran Panjang 1 meter x Lebar 90 cm),9999,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Gloaming kemeja Flanel Veterano Panjang Elarion Unisex,216900,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Kemeja Flanel - Flannel Shirt Atasan Wanita Kemeja Panjang Kerah V Neck Kemeja Casual Baju Katun Flanel Cewek Dewasa,79800,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Kemeja Flanel Wanita Lengan Panjang Motif Kotak-Kotak Warna Pink Terlaris untuk Atasan Sehari-hari Lembut Nyaman,53500,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Peternation kemeja flanel pria wool basic panjang regular fit FL4001,236500,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Hardbreak Celana Panjang Kotak Kotak Loosepants Unisex Bahan Flanel Nyaman Dipakai,119400,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
MD REBORN3- Kemeja Kotak Pria Wanita Lengan Panjang Dewasa Kain Flanel Katun,57950,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Kemeja Flanel Lengan Panjang Premium Quality Lembut Nyaman Pria AS001 - Bahan Wool Import,154800,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Peternation wool flanel basic panjang regular fit F1060 Pria Casual Distro Baju,236500,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
UNIQLO Kemeja Flannel Flanel Kotak Lengan Panjang Original Store SALE,539000,7,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
KEMEJA FLANEL LENGAN PANJANG PREMIUM DSHIKO PROJECT Pria Wanita Casual Motif Hitam Garis Putih Nyaman Harian Lembut Unisex,145000,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Kemeja Flanel Cowok Pria Lengan Panjang Bahan Woll Unisex Distro Casual Kotak Slim-fitting Baju,55500,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Oversize Kemeja Flanel Jumbo XXXL XXXXL XXXXXL Lengan Panjang 3XL 4XL 5XL Big Size,88750,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
Kemeja Flanel Pria Lengan Panjang Kualitas Premium Termurah Flannel Cowol Tangan Panjang Baju Distro Termurah Setrip,39900,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,flanel,Tokopedia
