name,price,sold,rating,store,link,image,category,platform
Copper Tempered Glass Kamera - kompatibel untuk iPhone 13 Pro,39900,9,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
PROX Tempered Glass For iPhone 13 Pro Max Full Cover Clear,65000,9,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
[iP XR - 13 PRO MAX] Case / Casing iPhone Cute Bear Glow In The Dark,34000,6,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
Kabel Data JETE CX10 USB A to Type C To C to Lightning For iPhone 17 16 15 14 13 12 11 XR XS X Fast Charging Data Cable Handphone Quick Charge With LED For Android Laptop Karet Silicone,71400,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
Sell_a_Case Fashion Cute Sketch Strawberry Bear Silicone Protective Case for iPhone 7Plus XR 15 13 11 14 12 Pro Max 7 15 14 8 Plus XS X Max SE Luxury Electroplating Frame Shockproof Soft Case,27500,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
BIUBIU CASE transparent silicone protective case for iPhone 14 15 Pro MAX 11 13 12 Pro XR XS MAX 7 8 S Plus 7Plus 8Plus SE four-corner anti-fall magnetic mobile phone case,29500,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
BIU BIU CASE Jelly iPhone 7 8 6 6S Plus 11 13 12 14 15 Pro MAX XR XS MAX 7Plus 8Plus SE Pink fairy butterfly Impact Resistant Silicone,22500,2,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
[iP XR - 13 PRO MAX] Case / Casing iPhone Radiant Heart Pattern,24000,6,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
"New! Trendy ""I'm Ok"" Letter Pattern Couple Phone Case Aesthetic White glossy jelly shell for iPhone 7 8 7+ 8+ X XS XS XR 11 12 13 14 15 16 Plus Pro Max Max Phone Case Casing",25500,11,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
Seri Casing iPhone Pola Gelombang Kompatibel dengan iPhone 11 12 13 14 15 16 Pro dan Pro Max Casing untuk iPhone 7 Plus 8 Plus X XR XS XS Max Casing Bertekstur Kasar dan Estetis untuk iPhone 6 6s 7 8 14 15 Plus Bunga Pink Kreatif,25500,9,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
Sell_a_Case Phone Cases Segitiga berlian Premium untuk seri iPhone Kompatibel dengan iPhone 11 13 12 14 15 pro promax casing untuk case hp iPhone 7plus 8plus x xr xs xsmax estetik keras berpermukaan kasar untuk iPhone 7 8 14 15 plus Cover Ponsel,25500,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
Sell_a_Case Fashion Silver Bowknot Silicone Case for iPhone 7Plus XR 15 13 11 14 12 Pro Max 7 15 14 8 Plus XS X Max SE Luxury Electroplating Frame Shockproof Soft Case,27500,24,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
COPPER Tempered Glass - compatible For iPhone 13 Mini | GLOSSY Premium Full Glue,99900,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
Lens Camera Electroplating Case Magsafe Compatible For Iphone 14 13 Pro Max Series PC Transparent Plating Shockproof Cover Casing,49900,9,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
Case iPhone IP 11 12 13 14 15 Pro Promax Sling Clapink Strap CILAPI,44000,6,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
COPPER Tempered Glass ANTI-BLUERAY (Full Glue) - KOmpatibel untuk iPhone 13 Pro Max,99900,2,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
CILUPBAH Magic Door Case for iPhone 11 12 13 14 15 16 Plus Pro Max,70000,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
sell_a_case stylish white dot silicone case iPhone 7 Plus XR 15 13 11 14 12 Pro Max 7 15 15 15 14 8 Plus XS XS XS Max Max Max Max Max Max Max Max Max Max Max Se Max Se Deluxe Secke Shock Profform Sockproff Sockproff Sockpref Sockpref Sockpref Softerbox,27500,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
