name,price,sold,rating,store,link,image,category,platform
This Is April Orelle Top Knit Atasan Wanita Lengan Panjang Aesthetic Basic Wear Clean Look Black dan Blue,259000,17,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,knit wear,Tokopedia
BIIU Baju Atasan Turtleneck Lengan Panjang Basic Knitwear Wanita Premium Rib Knit Premium High Turtleneck Nyaman untuk Daily Wear,84445,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,knit wear,Tokopedia
MAMAMARA - 11 WARNA | Cardigan Rajut Wol Basic Bear Knit Full Warna Lembut Halus Simple Outer Daily Wear Knitwear Wanita Atasan,169900,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,knit wear,Tokopedia
MAMAMARA - 9 WARNA | Cardigan Rajut Simple Polos Atasan Inara Santai Elegant Daily Wear Knit Wanita Kardigan,129900,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,knit wear,Tokopedia
MAMAMARA - 35 WARNA | Cardigan Rajut Basic Wol Knit Full Warna Lembut Halus Simple Outer Daily Wear Knitwear Wanita Atasan Tebal,159900,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,knit wear,Tokopedia
Susana ID [ COD ] French Hooded Knit Dress Womens Waist Slimming Hoodie Wear With A Long Skirt B007D,85000,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,knit wear,Tokopedia
MAMAMARA - Cardigan Rajut Wol Ruffle Tali Depan Knit Lengan Panjang Lembut Daily Wear,179900,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,knit wear,Tokopedia
MAMAMARA - Cardigan Rajut Stripe Wanita Salur Garis Premium Knit Daily Wear Atasan Santai Simple,179900,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,knit wear,Tokopedia
Mere et Moi Cardigan Menggendong On the Go 150cm Nursing Wear Knit Premium Multifungsi,213750,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,knit wear,Tokopedia
FOLADY - KIW069 Cardigan Rajut Wanita Rainbow Pastel Korean Style Lengan Pendek Knit Top Casual Kekinian Outer Rajut Stripe Warna-warni Soft Girl Cute Fashion Premium Daily Wear,88000,0,,N/A,N/A,https://p16-images-comn-sg.tokopedia-static.net/tos-alisg-i-zr7vqa5nfb-sg/img/official_store/badge_os.png~tplv-zr7vqa5nfb-image.image,knit wear,Tokopedia
FOLADY - KIW070 Cardigan Rajut Wanita Korean Style Oversize Premium Knit Outer Casual Vintage Coklat V-Neck Lengan Panjang Soft Knit Cozy Daily Wear Kekinian Fashion Korea,158000,0,,N/A,N/A,https://p16-images-comn-sg.tokopedia-static.net/tos-alisg-i-zr7vqa5nfb-sg/img/official_store/badge_os.png~tplv-zr7vqa5nfb-image.image,knit wear,Tokopedia
FOLADY - KIW071 Vest Rajut Wanita Korean Style Stripe Knit Sleeveless V-Neck Premium Soft Knit Casual Vintage Sweater Vest Korea Fashion Outer Kekinian Daily Wear Putih Navy,108000,0,,N/A,N/A,https://p16-images-comn-sg.tokopedia-static.net/tos-alisg-i-zr7vqa5nfb-sg/img/official_store/badge_os.png~tplv-zr7vqa5nfb-image.image,knit wear,Tokopedia
BALLOP Tivat Gradient 2.0 Sepatu Sneakers Outdoor Knit Comfortable Daily Wear Pria/Wanita Off-White,889000,0,,N/A,N/A,https://p16-images-comn-sg.tokopedia-static.net/tos-alisg-i-zr7vqa5nfb-sg/img/official_store/badge_os.png~tplv-zr7vqa5nfb-image.image,knit wear,Tokopedia
FOLADY - KIW065 Vest Rajut Wanita Korean Style Motif Love V Neck Knit Sleeveless Sweater Rompi Rajut Casual Premium Soft Outfit Korea Fashion Aesthetic Stylish Daily Wear Knitwear Cewek Kekinian,108000,0,,N/A,N/A,https://p16-images-comn-sg.tokopedia-static.net/tos-alisg-i-zr7vqa5nfb-sg/img/official_store/badge_os.png~tplv-zr7vqa5nfb-image.image,knit wear,Tokopedia
GREET NIGHT WEAR - Baju Tidur Knit Model : KT-001 / PPK,345000,0,,N/A,N/A,https://p16-images-comn-sg.tokopedia-static.net/tos-alisg-i-zr7vqa5nfb-sg/img/official_store/badge_os.png~tplv-zr7vqa5nfb-image.image,knit wear,Tokopedia
PORTICO - Sofia Polo Zipper Knit Daily Wear Korean Style - Double Knitted - Zipper Polo Wanita Lengan Pendek - TC18,109000,2,,N/A,N/A,https://p16-images-comn-sg.tokopedia-static.net/tos-alisg-i-zr7vqa5nfb-sg/img/official_store/badge_os.png~tplv-zr7vqa5nfb-image.image,knit wear,Tokopedia
FOLADY - KIW067 Sweater Rajut Wanita Premium Korean Style Knit Top Lengan Panjang Basic Ribbed Sweater Cewek Casual Elegant Soft Knitwear Fashion Kekinian Daily Wear Outfit Stylish Modern Look,128000,0,,N/A,N/A,https://p16-images-comn-sg.tokopedia-static.net/tos-alisg-i-zr7vqa5nfb-sg/img/official_store/badge_os.png~tplv-zr7vqa5nfb-image.image,knit wear,Tokopedia
"FOLADY - KIW011 Cardigan Knit Rib wanita warna abu-abu dengan model fit body dan kancing depan, desain simpel elegan cocok untuk Korean style. Terbuat dari bahan knit lembut, elastis, dan nyaman dipakai untuk daily wear, hangout, atau kerja.",98000,1,,N/A,N/A,https://p16-images-comn-sg.tokopedia-static.net/tos-alisg-i-zr7vqa5nfb-sg/img/official_store/badge_os.png~tplv-zr7vqa5nfb-image.image,knit wear,Tokopedia
FOLADY - KIW072 Vest Rajut Wanita Korean Style Loose Knit Sleeveless Premium Outer Casual V-Neck Oversize Aesthetic Minimalis Daily Wear Fashion Korea Hitam Elegan Kekinian,88000,0,,N/A,N/A,https://p16-images-comn-sg.tokopedia-static.net/tos-alisg-i-zr7vqa5nfb-sg/img/official_store/badge_os.png~tplv-zr7vqa5nfb-image.image,knit wear,Tokopedia
Hosofshopaholic - MIZU CARDI - Atasan Wanita - Cardigan Rajut - Knit Wear,199999,7,,N/A,N/A,https://p16-images-comn-sg.tokopedia-static.net/tos-alisg-i-zr7vqa5nfb-sg/img/official_store/badge_os.png~tplv-zr7vqa5nfb-image.image,knit wear,Tokopedia
FOLADY - KIW066 Sweater Rajut Wanita Korean Style Motif Cloud Knit Top Lengan Pendek Premium Soft Cute Aesthetic Casual Fashion Knitwear Cewek Kekinian Daily Wear Outfit Stylish Korean Look,98000,0,,N/A,N/A,https://p16-images-comn-sg.tokopedia-static.net/tos-alisg-i-zr7vqa5nfb-sg/img/official_store/badge_os.png~tplv-zr7vqa5nfb-image.image,knit wear,Tokopedia
Active Wear - Tanktop Olahraga Atasan Gym/Zumba Fitnes Premium Model Knit Salur 329,102500,13,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,knit wear,Tokopedia
Aliciacouture - Cardigan Only- Khloe Cardigan - Y2K Collection - Knit Outer Top - Daily Wear - Korean Style,285000,4,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,knit wear,Tokopedia
GRAFISA OVERSIZE KNIT WEAR / SWEATER RAJUT OVERSIZE / SWEATER RAJUT PREMIUM,108000,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,knit wear,Tokopedia
olive knit wear/sweater rajut wanita,77900,17,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,knit wear,Tokopedia
liso wear - PAKET 3 PCS Kaos Turtle Neck Pria Lengan Panjang | Kerah Tinggi Waffle Knit Premium Top,136521,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,knit wear,Tokopedia
[Wear.klassy] Rachel Knit Top / One Shoulder Top / Knit Wear / Sabrina Knit Top / Sweater Knit / Casual Top,149000,18,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,knit wear,Tokopedia
KM COLLECTIONN ONE SET YOONI WANITA SETELAN BAJU PENDEK WANITA KNIT WEAR Nyaman Santai Dewasa,49900,8,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,knit wear,Tokopedia
