name,price,sold,rating,store,link,image,category,platform
Case Macbook Air 13.6 M3 M2 SwitchEasy Touch Casing,599000,1,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
Screen Protector Macbook Air 13.6 M3 M2 SwitchEasy EasyVision Anti Gores Guard,399000,3,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
Anti Gores Spy Privacy Macbook Air 13.6 M3 M2 SwitchEasy Easy-Protector Screen Guard,599000,3,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
Mocolo Case Compatible For Macbook Air 13.6 inch / 15 M2 M3 M4 M5 - Casing,169150,9,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
COPPER Hard-Shell Glitter Case Kompatibel Untuk - MacBook Air / Pro - M1/M2/M3/M4/Max - 2016/2017/2018/2019/2020/2021/2022/2023/2024/2025 – 13/13.3/13.6/14/15/15.6/16 inch,129000,12,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
"SPIGEN Case Hardcase New Macbook Air 13"" Inch M3 2024 M2 2022 Thin Fit Crystal Clear Bening Slim Hard Cover Casing Premium",949000,6,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
Case MacBook Air 13.6 M3 M2 SwitchEasy Nude Casing Cover,599000,24,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
Screen Protector Macbook Air Pro 16/14/13 M3/M2 2024 Spigen Safe View,519000,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
APPLE MacBook Air M3 13 Inch 2024 M3 Chip GPU 8Core/10Core Resmi IBOX,19999000,10,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
COPPER - Filter Pelindung Layar Magnetik - Anti Blueray & Anti Spy / Privacy - kompatibel MacBook Air / Pro - M1 / M2 / M3 / M4 / M5 / Max - 2016 / 2017 / 2018 / 2019 / 2020 / 2021 / 2022 / 2023 / 2024 / 2025 / 2026 – 13 / 14 / 15 / 16 inch - Anti Gores,229000,4,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
"COPPER Hard-Shell Crystal Case - kompatibel MacBook Air / Pro - M1 / M2 / M3 / M4 / M5 / Max - 2016 / 2017 / 2018 / 2019 / 2020 / 2021 / 2022 / 2023 / 2024 / 2025 / 2026 – 13 / 13,3 / 13,6 / 14 / 15 / 15,6 / 16 inch - Crystal Clear, AIR 13"" A1466/A1369",119900,6,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
COPPER Hard-Shell Candy Case - Kompatibel Untuk MacBook Air / Pro - M1/M2/M3/M4/M5/Max - 2016/2017/2018/2019/2020/2021/2022/2023/2024/2025/2026– 13/13.3/13.6/14/15/15.6/16 inch,165000,3,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
"COPPER Case Hot Stamping Embossed Unique Motif - kompatibel untuk MacBook Air / Pro - M1 / M2 / M3 / M4 / M5 / Max - 2016 / 2017 / 2018 / 2019 / 2020 / 2021 / 2022 / 2023 / 2024 / 2025 / 2026 – 13 / 13,3 / 13,6 / 14 / 15 / 15,6 / 16 inch",400000,2,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
"COPPER Case Cold Stamping Embossed Math Formula Motif - kompatibel untuk MacBook Air / Pro - M1 / M2 / M3 / M4 / Max - 2016 / 2017 / 2018 / 2019 / 2020 / 2021 / 2022 / 2023 / 2024 / 2025 – 13 / 13,3 / 13,6 / 14 / 15 / 15,6 / 16 inch",400000,1,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
COPPER Hard-Shell Candy Case - kompatibel Untuk MacBook Air / Pro - M1/M2/M3/M4/M5/Max - 2016/2017/2018/2019/2020/2021/2022/2023/2024/2025/2026– 13/13.3/13.6/14/15/15.6/16 inch,400000,5,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
"COPPER Case Hot Stamping Embossed Unique Motif Kompatibel Untuk - MacBook Air / Pro - M1 / M2 / M3 / M4 / Max - 2016 / 2017 / 2018 / 2019 / 2020 / 2021 / 2022 / 2023 / 2024 / 2025 – 13 / 13,3 / 13,6 / 14 / 15 / 15,6 / 16 inch",199000,9,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
"COPPER Hard-Shell Glitter Case - kompatibel untuk MacBook Air / Pro - M1 / M2 / M3 / M4 /M5 / Max - 2016 / 2017 / 2018 / 2019 / 2020 / 2021 / 2022 / 2023 / 2024 / 2025 /2026– 13 / 13,3 / 13,6 / 14 / 15 / 15,6 / 16 inch - Glitter Clear, AIR 13"" A1466/A1369",129000,1,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
